state	county	dem_percent_12	dem_percent_16
South Carolina	Dillon	57.713847	49.871773
South Carolina	Lexington	30.320627	28.855053
South Carolina	Marion	64.647004	60.023816
South Dakota	Brookings	46.991935	38.477918
South Dakota	Buffalo	73.634945	60.408163
South Dakota	Custer	29.535398	23.744969
South Dakota	Day	52.105813	35.456862
South Dakota	Fall River	32.423208	23.04238
South Dakota	Haakon	12.637363	7.375479
South Dakota	Hughes	34.16309	29.969419
South Dakota	Jackson	38.517179	29.497717
South Dakota	McPherson	22.386831	16.886544
South Dakota	Potter	24.547429	16.080778
South Dakota	Sully	22.738386	15.911731
South Dakota	Todd	79.134962	70.823529
South Dakota	Turner	33.515439	23.156627
South Dakota	Walworth	27.254265	18.449738
Tennessee	Anderson	34.127921	30.16298
Tennessee	Bedford	29.151956	22.110062
Tennessee	Carroll	32.024698	22.409476
Tennessee	Cheatham	30.687656	24.353178
Tennessee	Fayette	34.167774	30.287718
Tennessee	Grundy	38.777437	20.974176
Tennessee	Hamilton	41.674163	38.843323
Tennessee	Obion	27.006587	19.805698
Tennessee	Scott	21.775645	13.112453
Tennessee	Union	25.360329	16.199776
Tennessee	Van Buren	38.043478	22.281935
Tennessee	Washington	29.823867	26.178894
Texas	Atascosa	40.350601	34.015944
Texas	Blanco	24.532475	21.882146
Texas	Briscoe	16.666667	12.36413
Texas	Cameron	64.991222	64.511995
Texas	Ector	24.968474	28.056392
Texas	El Paso	65.512841	69.082931
Texas	Erath	15.754029	15.547398
Texas	Galveston	35.893639	35.522322
Texas	Gonzales	29.337956	24.802652
Texas	Hudspeth	43.91657	37.198622
Texas	Jeff Davis	36.912752	35.43241
Texas	Kaufman	27.32045	24.907306
Texas	Kendall	17.111848	18.106362
Texas	Lamb	24.395013	19.299124
Texas	Lampasas	20.530261	18.074345
Texas	La Salle	58.626974	54.832443
Texas	Leon	15.291577	12.219384
Texas	Lipscomb	10.188356	10.135135
Texas	McLennan	34.469621	34.22447
Texas	Madison	24.006951	20.540919
Texas	Menard	20.141343	17.824074
Texas	Mills	12.676056	10.824053
Texas	Mitchell	23.229706	16.120219
Texas	Navarro	28.312939	24.353435
Texas	Palo Pinto	19.395952	16.630964
Texas	Panola	21.612903	17.617127
Texas	Parker	16.465383	14.685745
Texas	Pecos	38.337349	37.132616
Texas	Refugio	37.280538	35.074627
Texas	Roberts	6.496063	3.610108
Texas	San Saba	14.298362	12.431056
Texas	Scurry	16.669982	13.858953
Texas	Shelby	25.010771	19.348448
